event_id,round,player,points,tournament_points,opponent
1,2,Mitchell Trantham,125,1,William Welch
1,2,Landon Vomastic,443,7,Ricardo Marmolejo
1,2,Ricardo Marmolejo,374,4,Landon Vomastic
1,2,Steve Cornell,239,6,Kale Campagna
1,2,Kale Campagna,181,5,Steve Cornell
1,2,Dennis Daniels,0,1,Robert Olmsted
1,2,Robert Olmsted,400,10,Dennis Daniels
1,2,Robert Schaefer,140,8,
1,3,Andrew Sackett,400,10,Eric Burtch
1,3,Eric Burtch,95,1,Andrew Sackett
1,3,Patrick Doupe,136,7,Jacek Klopotowski
1,3,Jacek Klopotowski,0,4,Patrick Doupe
1,3,Christopher Fritz,134,7,Jason Dedrick
1,3,Jason Dedrick,58,4,Christopher Fritz
1,3,Michael Wright,0,1,Daniel Allen
1,3,Daniel Allen,400,10,Michael Wright
1,3,Jason Hughley,0,5,Rhys Aghatabay
1,3,Rhys Aghatabay,0,6,Jason Hughley
1,3,Brooke Kortenbusch,225,3,Ryan Becker
1,3,Ryan Becker,430,8,Brooke Kortenbusch
1,3,Lewis Wright,46,4,Andrew Graber
1,3,Andrew Graber,125,7,Lewis Wright
1,3,Justin Preyer,102,7,Robert Coldwell
1,3,Robert Coldwell,32,4,Justin Preyer
1,3,Mitchell Fallinger,311,6,Matthew Ansley
1,3,Matthew Ansley,309,5,Mitchell Fallinger
1,3,Daniel Unzeitig,400,10,Scott Bellamy
1,3,Scott Bellamy,47,1,Daniel Unzeitig
1,3,Mackenzie Dalla Lana,259,8,Kyle Campagna
1,3,Kyle Campagna,83,3,Mackenzie Dalla Lana
1,3,Nicholas Griffiths,156,4,Colin Looney
1,3,Colin Looney,277,7,Nicholas Griffiths
1,3,Andrew Clarke,16,4,Andrew Armbruster
1,3,Andrew Armbruster,87,7,Andrew Clarke
1,3,Dennis Raschke,113,7,Charles White
1,3,Charles White,24,4,Dennis Raschke
1,3,Nicholas Brown,139,2,Michael Cox
1,3,Michael Cox,400,9,Nicholas Brown
1,3,Joseph Nelligan,166,4,Justin Schoonmaker
1,3,Justin Schoonmaker,229,7,Joseph Nelligan
1,3,John Benedict,46,1,Samuel Simon
1,3,Samuel Simon,490,10,John Benedict
1,3,James McCartney,259,8,Joshua Gorhau
1,3,Joshua Gorhau,40,3,James McCartney
1,3,Matthew Moncrief,57,4,Adam Newton
1,3,Adam Newton,183,7,Matthew Moncrief
1,3,Christian Garcia,145,6,Ian Franklin
1,3,Ian Franklin,121,5,Christian Garcia
1,3,Hiroki Ogawa,190,7,Rob Harrison
1,3,Rob Harrison,61,4,Hiroki Ogawa
1,3,Nathanial Beaver,267,4,Paul Heaver
1,3,Paul Heaver,400,7,Nathanial Beaver
1,3,Derek MacKinnon,129,4,Eric Pearson
1,3,Eric Pearson,233,7,Derek MacKinnon
1,3,Will Ross,272,6,Jerzy Frączek
1,3,Jerzy Frączek,231,5,Will Ross
1,3,Kyle Bowen,26,3,Paul Conrad
1,3,Paul Conrad,219,8,Kyle Bowen
1,3,Christopher Ernest,84,5,Nicholas Larson
1,3,Nicholas Larson,127,6,Christopher Ernest
1,3,Robin Sather,180,4,Andrew Preyer
1,3,Andrew Preyer,274,7,Robin Sather
1,3,William Oder,213,5,Tim Bailey
1,3,Tim Bailey,227,6,William Oder
1,3,Derek Cummings,205,8,Owen Evans
1,3,Owen Evans,20,3,Derek Cummings
1,3,Matthew Stoebner,189,5,Royce Podeszwa
1,3,Royce Podeszwa,231,6,Matthew Stoebner
1,3,Marcus Kubryn,60,2,Aron Huckaba
1,3,Aron Huckaba,315,9,Marcus Kubryn
1,3,Aaron Hudson,249,9,William Schuman
1,3,William Schuman,8,2,Aaron Hudson
1,3,Joshua Fletcher,490,10,Aaron Ray
1,3,Aaron Ray,159,1,Joshua Fletcher
1,3,William Welch,29,1,David Holmes
1,3,David Holmes,400,10,William Welch
1,3,Ryder Curry,206,7,Paul Tomashevskyi
1,3,Paul Tomashevskyi,99,4,Ryder Curry
1,3,Devon Balas,100,5,David Huber
1,3,David Huber,118,6,Devon Balas
1,3,Samuel Wang,480,10,Dennis Backofen
1,3,Dennis Backofen,15,1,Samuel Wang
1,3,Sean Newman,53,4,Mariano Banchero
1,3,Mariano Banchero,113,7,Sean Newman
1,3,William Brand,153,2,Benjamin Baldwin
1,3,Benjamin Baldwin,400,9,William Brand
1,3,Jakub Charmo,116,5,Kevin Leintz
1,3,Kevin Leintz,173,6,Jakub Charmo
1,3,Eric Kingsley,25,2,Jordan Shettell
1,3,Jordan Shettell,266,9,Eric Kingsley
1,3,John Fischer,63,3,Lucas Woolard
1,3,Lucas Woolard,222,8,John Fischer
1,3,Greg Fyfe,490,10,Robert Olmsted
1,3,Robert Olmsted,41,1,Greg Fyfe
1,3,Jeffrey Post,262,3,Robert Podeszwa
1,3,Robert Podeszwa,480,8,Jeffrey Post
1,3,Ryan Neupert,172,4,Andy Jackson
1,3,Andy Jackson,249,7,Ryan Neupert
1,3,Eric Connors,402,10,Roy Drum
1,3,Roy Drum,72,1,Eric Connors
1,3,Drew Hunnicutt,292,7,Mathew Schlueter
1,3,Mathew Schlueter,159,4,Drew Hunnicutt
1,3,Paul Adler,218,7,Tyler Szorcsik
1,3,Tyler Szorcsik,156,4,Paul Adler
1,3,Ryan Kubryn,111,7,Timothy Surburg
1,3,Timothy Surburg,29,4,Ryan Kubryn
1,3,Damon Jordan,261,9,Joseph Ziebelman
1,3,Joseph Ziebelman,32,2,Damon Jordan
1,3,Jacob Thompson,490,10,Robert Schaefer
1,3,Robert Schaefer,109,1,Jacob Thompson
1,3,William Gutierrez Gonzalez,122,5,Justin Campeau
1,3,Justin Campeau,168,6,William Gutierrez Gonzalez
1,3,Justin Robbins,40,1,Joseph Morton
1,3,Joseph Morton,420,10,Justin Robbins
1,3,Batlomiej Przybysz,103,3,Nathan Ray
1,3,Nathan Ray,294,8,Batlomiej Przybysz
1,3,Christopher Dyson,298,8,Matt Palo
1,3,Matt Palo,131,3,Christopher Dyson
1,3,Jared Eslick-Coats,225,3,Kyle Holt
1,3,Kyle Holt,400,8,Jared Eslick-Coats
1,3,Landon Vomastic,400,7,Aidan Broome
1,3,Aidan Broome,323,4,Landon Vomastic
1,3,Ian Halterman,87,5,Evan Rice
1,3,Evan Rice,133,6,Ian Halterman
1,3,James Godfrey,131,3,Michael Lyssy
1,3,Michael Lyssy,327,8,James Godfrey
1,3,Andrew Koltun,132,1,Christopher McWilliam
1,3,Christopher McWilliam,460,10,Andrew Koltun
1,3,Forrest Weigel,400,9,Adam Klopfenstein
1,3,Adam Klopfenstein,167,2,Forrest Weigel
1,3,Justin Rasmussen,442,10,Tom Kolker
1,3,Tom Kolker,25,1,Justin Rasmussen
1,3,Greg Goodwin,45,1,Bodhi Lovely
1,3,Bodhi Lovely,400,10,Greg Goodwin
1,3,Steve Smaha,47,1,Matthew Chambers
1,3,Matthew Chambers,400,10,Steve Smaha
1,3,Shawn Tweten,217,8,Aiden Jablonski
1,3,Aiden Jablonski,0,3,Shawn Tweten
1,3,Steve Cornell,203,4,Josh Phipps
1,3,Josh Phipps,277,7,Steve Cornell
1,3,Christopher Cottrill,142,1,Adam Momsen
